"GEN000020",2,
"GEN000100",1,
"GEN000120",2,
"GEN000220",2,
"GEN000240",2, 
"GEN000241",2, 
"GEN000242",2, 
"GEN000244",3, 
"GEN000250",2, 
"GEN000251",2, 
"GEN000252",2, 
"GEN000253",2, 
"GEN000280",2, 
"GEN000290",2, 
"GEN000300",2, 
"GEN000320",2, 
"GEN000340",2, 
"GEN000360",2, 
"GEN000380",3, 
"GEN000400",2, 
"GEN000402",2, 
"GEN000410",2, 
"GEN000440",2, 
"GEN000450",3, 
"GEN000452",3, 
"GEN000460",2, 
"GEN000480",2, 
"GEN000500",2, 
"GEN000510",3, 
"GEN000520",2, 
"GEN000540",2, 
"GEN000560",1,
"GEN000580",2, 
"GEN000585",2, 
"GEN000590",2, 
"GEN000595",2, 
"GEN000600",2, 
"GEN000610",2, 
"GEN000620",2, 
"GEN000640",2, 
"GEN000680",2, 
"GEN000700",2, 
"GEN000740",2, 
"GEN000750",2, 
"GEN000760",2, 
"GEN000790",2, 
"GEN000800",2, 
"GEN000850",3, 
"GEN000880",2, 
"GEN000900",3, 
"GEN000920",2, 
"GEN000930",2, 
"GEN000940",2, 
"GEN000945",2, 
"GEN000950",2, 
"GEN000960",2, 
"GEN000980",2, 
"GEN001000",2, 
"GEN001020",2, 
"GEN001060",2, 
"GEN001080",3, 
"GEN001100",1,
"GEN001120",2, 
"GEN001140",2, 
"GEN001160",2, 
"GEN001170",2, 
"GEN001180",2, 
"GEN001190",2, 
"GEN001200",2, 
"GEN001210",2, 
"GEN001220",2, 
"GEN001240",2, 
"GEN001260",2, 
"GEN001270",2, 
"GEN001280",3, 
"GEN001290",3, 
"GEN001300",2, 
"GEN001310",2, 
"GEN001320",2, 
"GEN001340",2, 
"GEN001360",2, 
"GEN001361",2, 
"GEN001362",2, 
"GEN001363",2, 
"GEN001364",2, 
"GEN001365",2, 
"GEN001366",2, 
"GEN001367",2, 
"GEN001368",2, 
"GEN001369",2, 
"GEN001371",2, 
"GEN001372",2, 
"GEN001373",2, 
"GEN001374",2, 
"GEN001378",2, 
"GEN001379",2, 
"GEN001380",2, 
"GEN001390",2, 
"GEN001391",2, 
"GEN001392",2, 
"GEN001393",2, 
"GEN001394",2, 
"GEN001400",2, 
"GEN001410",2, 
"GEN001420",2, 
"GEN001430",2, 
"GEN001440",3, 
"GEN001460",3, 
"GEN001470",2, 
"GEN001475",2, 
"GEN001480",2, 
"GEN001490",3, 
"GEN001500",2, 
"GEN001520",2, 
"GEN001540",3, 
"GEN001550",2, 
"GEN001560",3, 
"GEN001570",2, 
"GEN001580",2, 
"GEN001590",2, 
"GEN001600",2, 
"GEN001605",2, 
"GEN001610",2, 
"GEN001640",1
"GEN001660",2, 
"GEN001680",2, 
"GEN001700",2, 
"GEN001720",2, 
"GEN001730",2, 
"GEN001740",2, 
"GEN001760",2, 
"GEN001780",3, 
"GEN001800",2, 
"GEN001810",2, 
"GEN001820",2, 
"GEN001830",2, 
"GEN001840",2, 
"GEN001845",2, 
"GEN001850",2, 
"GEN001860",2, 
"GEN001870",2, 
"GEN001880",2, 
"GEN001890",2, 
"GEN001900",2, 
"GEN001901",2, 
